time,A,B,C
4/24/2015 18:15,867.2006836,2987.80957,1072.53186
4/24/2015 18:30,863.5563354,2976.237305,1102.525024
4/24/2015 18:45,858.5,2976.237305,1099.338623
4/24/2015 19:00,849.9437256,2970.510742,1092.993286
4/24/2015 19:15,847.1325073,2970.510742,1057.277344
4/24/2015 19:30,849.9437256,2976.237305,1057.277344
4/24/2015 19:45,843.519043,3035.352051,1042.84729
4/24/2015 20:00,840.2832031,3035.352051,1005.958557
4/24/2015 20:15,839.1689453,3035.352051,1005.958557
4/24/2015 20:30,839.1689453,3034.649658,1041.289917
4/24/2015 20:45,813.3942261,3011.63208,1041.289917
4/24/2015 21:00,804.9899902,2984.178711,983.0337524
4/24/2015 21:15,790.6114502,2934.684082,1016.312561
4/24/2015 21:30,766.6185913,2883.029785,986.5299683
4/24/2015 21:45,762.1638184,2880.234863,973.0028076
4/24/2015 22:00,746.0715332,2869.587158,985.4709473
4/24/2015 22:15,746.0715332,2827.73999,973.515564
4/24/2015 22:30,739.6062012,2809.507813,931.9976196
4/24/2015 22:45,726.9702148,2794.491211,893.0449829
4/24/2015 23:00,721.4700928,2651.875977,893.0449829
4/24/2015 23:15,701.0670776,2608.121826,850.3308716
4/24/2015 23:30,693.9888306,2484.901123,840.5169678
4/24/2015 23:45,686.4331665,2433.087646,834.4187622
4/25/2015 0:00,684.4221802,2405.447266,795.8800659
4/25/2015 0:15,679.5093384,2374.436279,730.3712769
4/25/2015 0:30,679.2574463,2343.072998,726.3770142
4/25/2015 0:45,677.1160889,2251.696289,726.3770142
4/25/2015 1:00,682.9967041,2194.754639,725.8208008
4/25/2015 1:15,675.3872681,2166.720459,693.7838135
4/25/2015 1:30,678.9468994,2159.371338,704.4636841
4/25/2015 1:45,684.0870972,2147.996582,687.9474487
4/25/2015 2:00,684.0870972,2129.80957,674.8567505
4/25/2015 2:15,674.1498413,2116.91626,674.8567505
4/25/2015 2:30,674.4039307,2086.427979,674.8567505
4/25/2015 2:45,669.008667,2045.700317,668.5856323
4/25/2015 3:00,669.008667,2025.690796,668.5856323
4/25/2015 3:15,677.2113647,2007.007813,640.7741699
4/25/2015 3:30,680.4711304,1922.347412,603.5772095
4/25/2015 3:45,691.0252075,1922.060181,578.4049683
4/25/2015 4:00,707.4619141,1876.959595,560.4144897
4/25/2015 4:15,721.9077759,1870.263794,560.4144897
4/25/2015 4:30,745.6693726,1853.227173,514.3376465
4/25/2015 4:45,757.484314,1862.552124,514.0664673
4/25/2015 5:00,761.3872681,1873.61377,527.055481
4/25/2015 5:15,789.343811,1910.470825,527.055481
4/25/2015 5:30,821.0354614,1924.382813,513.49823
4/25/2015 5:45,844.3065796,1940.391968,523.0789185
4/25/2015 6:00,855.3359375,1941.470215,512.3414307
4/25/2015 6:15,875.0979004,2007.28894,512.3414307
4/25/2015 6:30,888.8991089,2140.249023,516.4130249
4/25/2015 6:45,940.678894,2255.112061,519.8809814
4/25/2015 7:00,966.9210815,2289.688477,519.8809814
4/25/2015 7:15,971.9876099,2361.918213,548.9205322
4/25/2015 7:30,980.7759399,2469.959961,573.7301636
4/25/2015 7:45,976.1653442,2654.175293,623.0753784
4/25/2015 8:00,966.2939453,2708.01416,658.0250244
4/25/2015 8:15,941.5175171,2899.375244,672.7955322
4/25/2015 8:30,941.5175171,3002.967529,693.6559448
4/25/2015 8:45,941.5175171,3051.88208,712.6953125
4/25/2015 9:00,971.5137939,3164.156494,748.4144287
4/25/2015 9:15,971.5137939,3195.023193,779.932251
4/25/2015 9:30,978.0330811,3274.218018,857.0053101
4/25/2015 9:45,971.5698242,3340.525635,868.2722778
4/25/2015 10:00,951.6367188,3342.811035,977.1462402
4/25/2015 10:15,944.1713867,3354.151855,1028.015869
4/25/2015 10:30,919.5066528,3371.623535,1074.040771
4/25/2015 10:45,904.2710571,3398.839111,1087.512207
4/25/2015 11:00,898.1256714,3422.422119,1160.519409
4/25/2015 11:15,898.1256714,3422.422119,1169.953857
4/25/2015 11:30,906.8162231,3422.422119,1180.230469
4/25/2015 11:45,907.2962646,3419.536621,1167.532471
4/25/2015 12:00,908.5375366,3384.897949,1177.787842
4/25/2015 12:15,908.3319702,3366.670166,1237.518311
